Name,Created time,Progress,Progress statement,Total,⏰ Get up early,✍🏻 Journal,🏃🏻 Workout,📃 Reading,📈 Focused Work,🙏🏻 Gratitude & Self Love,🚶🏻‍♀️ Walking,🧘 Meditation,🧘🏻 Movement Practice,🪥 Floss
"@May 2, 2025","May 1, 2025 5:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 3, 2025","May 2, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 4, 2025","May 3, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 5, 2025","May 4, 2025 5:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 6, 2025","May 5, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 7, 2025","May 6, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 8, 2025","May 7, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 9, 2025","May 8, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 10, 2025","May 9, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 11, 2025","May 10, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 12, 2025","May 11, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 13, 2025","May 12, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 14, 2025","May 13, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 15, 2025","May 14, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 16, 2025","May 15, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 17, 2025","May 16, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 18, 2025","May 17, 2025 5:00 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 19, 2025","May 18, 2025 5:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 20, 2025","May 19, 2025 5:00 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 21, 2025","May 20, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 22, 2025","May 21, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 23, 2025","May 22, 2025 5:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 24, 2025","May 23, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 25, 2025","May 24, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 26, 2025","May 25, 2025 5:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 27, 2025","May 26, 2025 5:14 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 28, 2025","May 27, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 29, 2025","May 28, 2025 5:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 30, 2025","May 29, 2025 5:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 31, 2025","May 30, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 1, 2025","May 31, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 2, 2025","June 1, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 3, 2025","June 2, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 4, 2025","June 3, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 5, 2025","June 4, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 6, 2025","June 5, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 7, 2025","June 6, 2025 5:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 8, 2025","June 7, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 9, 2025","June 8, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 10, 2025","June 9, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 11, 2025","June 10, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 12, 2025","June 11, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 13, 2025","June 12, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 14, 2025","June 13, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 15, 2025","June 14, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 16, 2025","June 15, 2025 5:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 17, 2025","June 16, 2025 5:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 18, 2025","June 17, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 19, 2025","June 18, 2025 5:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 20, 2025","June 19, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 21, 2025","June 20, 2025 5:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 22, 2025","June 21, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 23, 2025","June 22, 2025 5:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 24, 2025","June 23, 2025 5:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 25, 2025","June 24, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 26, 2025","June 25, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 27, 2025","June 26, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 28, 2025","June 27, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 29, 2025","June 28, 2025 5:14 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 30, 2025","June 29, 2025 5:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 1, 2025","June 30, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 2, 2025","July 1, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 3, 2025","July 2, 2025 5:14 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 4, 2025","July 3, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 5, 2025","July 4, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 6, 2025","July 5, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 7, 2025","July 6, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 8, 2025","July 7, 2025 5:00 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 9, 2025","July 8, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 10, 2025","July 9, 2025 5:15 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 11, 2025","July 10, 2025 5:16 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 12, 2025","July 11, 2025 5:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 13, 2025","July 12, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 14, 2025","July 13, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 15, 2025","July 14, 2025 5:16 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 16, 2025","July 15, 2025 5:15 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 17, 2025","July 16, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 18, 2025","July 17, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 19, 2025","July 18, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 20, 2025","July 19, 2025 5:14 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 21, 2025","July 20, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 22, 2025","July 21, 2025 5:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 23, 2025","July 22, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 24, 2025","July 23, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 25, 2025","July 24, 2025 5:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 26, 2025","July 25, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 27, 2025","July 26, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 28, 2025","July 27, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 29, 2025","July 28, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 30, 2025","July 29, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 31, 2025","July 30, 2025 5:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 1, 2025","July 31, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 2, 2025","August 1, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 3, 2025","August 2, 2025 5:14 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 4, 2025","August 3, 2025 5:18 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 5, 2025","August 4, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 6, 2025","August 5, 2025 5:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 7, 2025","August 6, 2025 5:17 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 8, 2025","August 7, 2025 5:15 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 9, 2025","August 8, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 10, 2025","August 9, 2025 5:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 11, 2025","August 10, 2025 5:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 12, 2025","August 11, 2025 5:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 13, 2025","August 12, 2025 5:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 14, 2025","August 13, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 15, 2025","August 14, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 16, 2025","August 15, 2025 5:17 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 17, 2025","August 16, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 18, 2025","August 17, 2025 5:18 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 19, 2025","August 18, 2025 5:15 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 20, 2025","August 19, 2025 5:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 21, 2025","August 20, 2025 5:15 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 22, 2025","August 21, 2025 5:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 23, 2025","August 22, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 24, 2025","August 23, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 25, 2025","August 24, 2025 5:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 26, 2025","August 25, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 27, 2025","August 26, 2025 5:14 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
