Name,Related To-do
Journal Exercises,"Writing Projects (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Writing%20Projects%2012d462f3c26143fdb15289fcff456af1.md), Meditation Exercise (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Meditation%20Exercise%207bde0d2d77b94320af7a97dcd40d3a84.md)"
Contact List,
Cartes a l’eternitat,
"Daily routine exercises prompts ",
Consider,
Mastermind Message for First Meeting,
Financial Plan,
Complete Feedback Mastermind Session Form,
Mastermind Filled First Homework!,
Tell Nina about how your heart feels about the people of the past and how you behaved,
Organise Weekly Calls,
Connection Meditation / Self Reflection,
Forgiveness Practice,
Inner Ascend,
Vision,
Medical Intuitive,
Self Healing,
Journaling Exercises,
Letting Go,
Bufo,
Book Highlights (Readwise),
Work on Family Systemics Healing Practice,
Make personalised case studies for my ko-fi page offerings,
Daily send your kofi to potential clients,
Contact Luthia Lee for Practice Swap,
Make a todo list where every day I can choose just one article and add it and commit for to my day. Like a giant pull of things that can be done and you can add it to your Monday to Friday calendar,
Write your big WHY,
Narrow down your Niche,
Go through the Medical Intuitive Mastermind,
Make a list of beliefs to go through,
Developing a Routine,
Goals,
Forgiveness practice (self abuse),
Spend time appreciating yourself in video camera,
Record Singing,
"Schedule an hour to coach yourself - make it a method, what are the most important Qs you need to answer?",
Fill Up Second Homework,
Organise Case Study,
Make Bufo Flyer,
Finish Bufo Intention Setting & Integration Pdf,
Write Letter,
Johy,
Oscar,
Zoi,
Núria,
Parents,
Avi,
Tom,
Inner Ascend Website,
Self Forgiveness Practice,
Offerings,
Heal Beliefs,
Channelling Practice,
Readwise,
