Name,Created time,Progress,Progress statement,Total,⏰ Get up early,✍🏻 Journal,🏃🏻 Workout,📃 Reading,📈 Focused Work,🙏🏻 Gratitude & Self Love,🚶🏻‍♀️ Walking,🧘 Meditation,🧘🏻 Movement Practice,🪥 Floss
"@February 18, 2024","February 18, 2024 3:15 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 19, 2024","February 19, 2024 2:17 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 20, 2024","February 20, 2024 2:38 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 21, 2024","February 21, 2024 2:57 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 22, 2024","February 22, 2024 4:05 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 23, 2024","February 23, 2024 2:10 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 24, 2024","February 24, 2024 4:37 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 25, 2024","February 25, 2024 3:31 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 26, 2024","February 26, 2024 4:21 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 27, 2024","February 27, 2024 4:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 28, 2024","February 28, 2024 4:16 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 29, 2024","February 29, 2024 3:10 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 1, 2024","March 1, 2024 3:23 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 2, 2024","March 2, 2024 2:28 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 3, 2024","March 3, 2024 3:41 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 4, 2024","March 4, 2024 4:25 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 5, 2024","March 5, 2024 4:06 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 6, 2024","March 6, 2024 4:10 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 7, 2024","March 7, 2024 4:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 8, 2024","March 8, 2024 2:52 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 9, 2024","March 9, 2024 2:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 10, 2024","March 10, 2024 3:50 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 11, 2024","March 11, 2024 2:52 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 12, 2024","March 12, 2024 1:16 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 13, 2024","March 13, 2024 1:24 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 14, 2024","March 14, 2024 2:28 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 15, 2024","March 15, 2024 3:25 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 16, 2024","March 16, 2024 2:08 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 17, 2024","March 17, 2024 3:13 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 18, 2024","March 18, 2024 2:41 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 19, 2024","March 19, 2024 3:22 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 20, 2024","March 20, 2024 3:06 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 21, 2024","March 21, 2024 1:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 22, 2024","March 22, 2024 1:05 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 23, 2024","March 23, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 24, 2024","March 24, 2024 1:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 25, 2024","March 25, 2024 1:02 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 26, 2024","March 26, 2024 1:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 27, 2024","March 27, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 28, 2024","March 28, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 29, 2024","March 29, 2024 1:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 30, 2024","March 30, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 31, 2024","March 31, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 1, 2024","April 1, 2024 1:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 2, 2024","April 2, 2024 1:02 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 3, 2024","April 3, 2024 1:02 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 4, 2024","April 4, 2024 1:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 5, 2024","April 5, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 6, 2024","April 6, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 7, 2024","April 7, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 8, 2024","April 8, 2024 1:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 9, 2024","April 9, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 10, 2024","April 10, 2024 1:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 11, 2024","April 11, 2024 1:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 12, 2024","April 12, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 13, 2024","April 13, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 14, 2024","April 14, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 15, 2024","April 15, 2024 1:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 16, 2024","April 16, 2024 1:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 17, 2024","April 17, 2024 1:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 18, 2024","April 18, 2024 3:57 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 19, 2024","April 19, 2024 3:59 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 20, 2024","April 20, 2024 2:22 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 21, 2024","April 21, 2024 2:49 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 22, 2024","April 22, 2024 3:58 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 23, 2024","April 23, 2024 2:06 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 24, 2024","April 24, 2024 3:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 25, 2024","April 25, 2024 3:46 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 26, 2024","April 26, 2024 1:27 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 27, 2024","April 27, 2024 2:02 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 28, 2024","April 28, 2024 3:05 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 29, 2024","April 29, 2024 3:34 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 30, 2024","April 30, 2024 1:21 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 1, 2024","May 1, 2024 2:49 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 2, 2024","May 2, 2024 2:21 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 3, 2024","May 3, 2024 3:51 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 4, 2024","May 4, 2024 3:25 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 5, 2024","May 5, 2024 2:44 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 6, 2024","May 6, 2024 3:46 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 7, 2024","May 7, 2024 3:04 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 8, 2024","May 8, 2024 1:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 9, 2024","May 9, 2024 2:22 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 10, 2024","May 10, 2024 2:30 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 11, 2024","May 11, 2024 2:21 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 12, 2024","May 12, 2024 1:24 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 13, 2024","May 13, 2024 2:58 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 14, 2024","May 14, 2024 3:15 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 15, 2024","May 15, 2024 3:41 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 16, 2024","May 16, 2024 1:35 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 17, 2024","May 17, 2024 3:26 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 18, 2024","May 18, 2024 2:04 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 19, 2024","May 19, 2024 1:39 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 20, 2024","May 20, 2024 2:07 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 21, 2024","May 21, 2024 2:29 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 22, 2024","May 22, 2024 3:46 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 23, 2024","May 23, 2024 1:27 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 24, 2024","May 24, 2024 2:56 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 25, 2024","May 25, 2024 3:13 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 26, 2024","May 26, 2024 2:52 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 27, 2024","May 27, 2024 2:35 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 28, 2024","May 28, 2024 2:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 29, 2024","May 29, 2024 2:16 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 30, 2024","May 30, 2024 2:06 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 31, 2024","May 31, 2024 2:33 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 1, 2024","June 1, 2024 2:15 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 2, 2024","June 2, 2024 2:32 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 3, 2024","June 3, 2024 2:24 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 4, 2024","June 4, 2024 3:53 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 5, 2024","June 5, 2024 2:42 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 6, 2024","June 6, 2024 3:28 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 7, 2024","June 7, 2024 2:09 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 8, 2024","June 8, 2024 1:55 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 9, 2024","June 9, 2024 3:09 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 10, 2024","June 10, 2024 2:14 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 11, 2024","June 11, 2024 1:45 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 12, 2024","June 12, 2024 2:21 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 13, 2024","June 13, 2024 1:09 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 14, 2024","June 14, 2024 2:57 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 15, 2024","June 15, 2024 2:53 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 16, 2024","June 16, 2024 1:36 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 17, 2024","June 17, 2024 2:42 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 18, 2024","June 18, 2024 3:15 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 19, 2024","June 19, 2024 3:12 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 20, 2024","June 20, 2024 3:30 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 21, 2024","June 21, 2024 3:47 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 22, 2024","June 22, 2024 1:43 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 23, 2024","June 23, 2024 2:23 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 24, 2024","June 24, 2024 3:33 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 25, 2024","June 25, 2024 3:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 26, 2024","June 26, 2024 2:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 27, 2024","June 27, 2024 1:41 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 28, 2024","June 28, 2024 3:57 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 29, 2024","June 29, 2024 2:04 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@June 30, 2024","June 30, 2024 1:07 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 1, 2024","July 1, 2024 1:04 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 2, 2024","July 2, 2024 2:17 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 3, 2024","July 3, 2024 1:56 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 4, 2024","July 4, 2024 3:17 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 5, 2024","July 5, 2024 3:19 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 6, 2024","July 6, 2024 3:10 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 7, 2024","July 7, 2024 3:38 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 8, 2024","July 8, 2024 3:16 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 9, 2024","July 9, 2024 2:23 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 10, 2024","July 10, 2024 2:49 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 11, 2024","July 11, 2024 3:43 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 12, 2024","July 12, 2024 1:16 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 13, 2024","July 13, 2024 2:34 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 14, 2024","July 14, 2024 3:45 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 15, 2024","July 15, 2024 2:13 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 16, 2024","July 16, 2024 3:06 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 17, 2024","July 17, 2024 2:12 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 18, 2024","July 18, 2024 3:35 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 19, 2024","July 19, 2024 3:37 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 20, 2024","July 20, 2024 3:46 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 21, 2024","July 21, 2024 1:30 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 22, 2024","July 22, 2024 2:14 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 23, 2024","July 23, 2024 1:55 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 24, 2024","July 24, 2024 1:56 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 25, 2024","July 25, 2024 1:40 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 26, 2024","July 26, 2024 3:17 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 27, 2024","July 27, 2024 1:49 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 28, 2024","July 28, 2024 3:53 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 29, 2024","July 29, 2024 1:47 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 30, 2024","July 30, 2024 3:34 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@July 31, 2024","July 31, 2024 1:24 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 1, 2024","August 1, 2024 2:28 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 2, 2024","August 2, 2024 3:43 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 3, 2024","August 3, 2024 1:27 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 4, 2024","August 4, 2024 2:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 5, 2024","August 5, 2024 2:15 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 6, 2024","August 6, 2024 2:49 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 7, 2024","August 7, 2024 3:51 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 8, 2024","August 8, 2024 3:53 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@August 9, 2024","August 9, 2024 3:27 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
